"Header","Principal Entity Name"
"8","SNOWEBS SOFTWARE TECHNOLOGIES PRIVATE LIMITED"
"91","WALKOVER WEB SOLUTIONS PRIVATE LIMITED"
"111","NUEVAS TECHNOLOGIES PVT LTD"
"512","KARODIAL"
"522","KARODIAL"
"551","KARODIAL"
"700","World Vision India"
"998","Fanatical Technologies Private Limited"
"1001","KARODIAL"
"1122","Cozy Vision Infotech Pvt. Ltd"
"2012","LEEWAY"
"2327","The Bong Collection"
"3737","TIRTH AGRO TECHNOLOGY PRIVATE LIMITED"
"4437","TIRTH AGRO TECHNOLOGY PRIVATE LIMITED"
"8000","KALYAN SILKS TRICHUR PVT LTD"
"8877","SITANI TECHNOLOGY"
"9100","WALKOVER WEB SOLUTIONS PRIVATE LIMITED"
"10101","WALKOVER WEB SOLUTIONS PRIVATE LIMITED"
"11011","BUSSAN AUTO FINANCE INDIA PRIVATE LIMITED"
"11110","UNITED INDIA CORPORATION"
"11111","WALKOVER WEB SOLUTIONS PRIVATE LIMITED"
"11112","MABEN NIDHI LTD"
"11113","MALABAR GOLD PVT LTD"
"11114","MALABAR GOLD PVT LTD"
"11199","JUST DIAL LIMITED"
"12312","BUSSAN AUTO FINANCE INDIA PRIVATE LIMITED"
"12340","BUSSAN AUTO FINANCE INDIA PRIVATE LIMITED"
"12345","WALKOVER WEB SOLUTIONS PRIVATE LIMITED"
"12365","GREEN INDIA COMMODITIES PRIVATE LIMITED"
"14530","Tata Teleservices Limited"
"16218","ADROIT ENTERPRISE"
"18753","AirAsia India Limited"
"20001","KARNATAKA GRAMIN BANK"
"20202","Bugfree Softwares"
"22226","P JAIN JEWELLERS"
"22751","BOMBINATE TECHNOLOGIES PRIVATE LIMITED"
"27272","NUEVAS TECHNOLOGIES PVT LTD"
"34000","KALYAN SILKS TRICHUR PVT LTD"
"36458","SEAJIN TECHNOLOGY PRIVATE LIMITED"
"40404","GRAM UNNATI FOUNDATION"
"41349","BI WORLDWIDE INDIA PRIVATE LIMITED"
"49150","Parashara Software Pvt. Ltd."
"50001","CLOUD WIRELESS TECHNOLOGIES INDIA PVT LTD"
"50101","CLOUD WIRELESS TECHNOLOGIES INDIA PVT LTD"
"51516","TAGLR TECHNOLOGIES PRIVATE LIMITED"
"51777","SEAJIN TECHNOLOGY PRIVATE LIMITED"
"54891","INFO SKY SOLUTIONS"
"55170","SHOPPERS STOP LIMITED"
